ID,Name,Full Name,Fast Move,Charge Move
1,Bulbasaur,Bulbasaur,Vine Whip,Seed Bomb
2,Bulbasaur,Bulbasaur,Vine Whip,Sludge Bomb
3,Bulbasaur,Bulbasaur,Vine Whip,Power Whip
4,Bulbasaur,Bulbasaur,Vine Whip,Frustration
5,Bulbasaur,Bulbasaur,Tackle,Seed Bomb
6,Bulbasaur,Bulbasaur,Tackle,Sludge Bomb
7,Bulbasaur,Bulbasaur,Tackle,Power Whip
8,Bulbasaur,Bulbasaur,Tackle,Frustration
9,Ivysaur,Ivysaur,Vine Whip,Sludge Bomb
10,Ivysaur,Ivysaur,Vine Whip,Solar Beam
11,Ivysaur,Ivysaur,Vine Whip,Power Whip
12,Ivysaur,Ivysaur,Vine Whip,Frustration
13,Ivysaur,Ivysaur,Razor Leaf,Sludge Bomb
14,Ivysaur,Ivysaur,Razor Leaf,Solar Beam
15,Ivysaur,Ivysaur,Razor Leaf,Power Whip
16,Ivysaur,Ivysaur,Razor Leaf,Frustration
17,Venusaur,Venusaur,Vine Whip,Petal Blizzard
18,Venusaur,Venusaur,Vine Whip,Sludge Bomb
19,Venusaur,Venusaur,Vine Whip,Solar Beam
20,Venusaur,Venusaur,Vine Whip,Frenzy Plant
21,Venusaur,Venusaur,Razor Leaf,Petal Blizzard
22,Venusaur,Venusaur,Razor Leaf,Sludge Bomb
23,Venusaur,Venusaur,Razor Leaf,Solar Beam
24,Venusaur,Venusaur,Razor Leaf,Frenzy Plant
25,Charmander,Charmander,Ember,Flamethrower
26,Charmander,Charmander,Ember,Flame Charge
27,Charmander,Charmander,Ember,Flame Burst
28,Charmander,Charmander,Ember,Frustration
29,Charmander,Charmander,Scratch,Flamethrower
30,Charmander,Charmander,Scratch,Flame Charge
31,Charmander,Charmander,Scratch,Flame Burst
32,Charmander,Charmander,Scratch,Frustration
33,Charmeleon,Charmeleon,Ember,Flamethrower
34,Charmeleon,Charmeleon,Ember,Flame Burst
35,Charmeleon,Charmeleon,Ember,Fire Punch
36,Charmeleon,Charmeleon,Ember,Frustration
37,Charmeleon,Charmeleon,Scratch,Flamethrower
38,Charmeleon,Charmeleon,Scratch,Flame Burst
