ID,Name,Full Name,Type 1,Type 2,Fast Move,Charge Move
1,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Seed Bomb
2,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Sludge Bomb
3,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Power Whip
4,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Frustration
5,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Return
6,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Seed Bomb
7,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Sludge Bomb
8,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Power Whip
9,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Frustration
10,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Return
11,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Sludge Bomb
12,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Solar Beam
13,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Power Whip
14,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Frustration
15,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Return
16,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Sludge Bomb
17,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Solar Beam
18,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Power Whip
19,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Frustration
20,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Return
21,Venusaur,Venusaur,Grass,Poison,Vine Whip,Petal Blizzard
22,Venusaur,Venusaur,Grass,Poison,Vine Whip,Sludge Bomb
23,Venusaur,Venusaur,Grass,Poison,Vine Whip,Solar Beam
24,Venusaur,Venusaur,Grass,Poison,Vine Whip,Frenzy Plant
25,Venusaur,Venusaur,Grass,Poison,Vine Whip,Frustration
26,Venusaur,Venusaur,Grass,Poison,Vine Whip,Return
27,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Petal Blizzard
28,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Sludge Bomb
29,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Solar Beam
30,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Frenzy Plant
31,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Frustration
32,Venusaur,Venusaur,Grass,Poison,Razor Leaf,Return
33,Charmander,Charmander,Fire,Poison,Ember,Flamethrower
34,Charmander,Charmander,Fire,Poison,Ember,Flame Charge
35,Charmander,Charmander,Fire,Poison,Ember,Flame Burst
36,Charmander,Charmander,Fire,Poison,Ember,Frustration
37,Charmander,Charmander,Fire,Poison,Ember,Return
38,Charmander,Charmander,Fire,Poison,Scratch,Flamethrower
39,Charmander,Charmander,Fire,Poison,Scratch,Flame Charge
