ID,Name,Full Name,Type 1,Type 2,Fast Move,Fast Move Type,Power,Turns,Energy,Charge Move,Charge Move Type,Power,Energy,Charge Time,Fast DPS,Charge DPS,Total DPS
1,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Grass,5,3,8,Seed Bomb,Grass,55,40,7.5,2.67,5.07,7.74
2,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Grass,5,3,8,Sludge Bomb,Poison,80,50,10.5,2.67,4.29,6.96
3,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Grass,5,3,8,Power Whip,Grass,90,50,10.5,2.67,5.81,8.48
4,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Grass,5,3,8,Frustration,Normal,10,70,13.5,2.67,0.44,3.11
5,Bulbasaur,Bulbasaur,Grass,Poison,Vine Whip,Grass,5,3,8,Return,Normal,130,70,13.5,2.67,5.48,8.15
6,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Normal,3,1,2,Seed Bomb,Grass,55,40,10,4,3.8,7.8
7,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Normal,3,1,2,Sludge Bomb,Poison,80,50,12.5,4,3.6,7.6
8,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Normal,3,1,2,Power Whip,Grass,90,50,12.5,4,4.88,8.88
9,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Normal,3,1,2,Frustration,Normal,10,70,17.5,4,0.34,4.34
10,Bulbasaur,Bulbasaur,Grass,Poison,Tackle,Normal,3,1,2,Return,Normal,130,70,17.5,4,4.23,8.23
11,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Grass,5,3,8,Sludge Bomb,Poison,80,50,10.5,3.33,5.43,8.76
12,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Grass,5,3,8,Solar Beam,Grass,150,80,15,3.33,8.47,11.8
13,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Grass,5,3,8,Power Whip,Grass,90,50,10.5,3.33,7.24,10.57
14,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Grass,5,3,8,Frustration,Normal,10,70,13.5,3.33,0.59,3.92
15,Ivysaur,Ivysaur,Grass,Poison,Vine Whip,Grass,5,3,8,Return,Normal,130,70,13.5,3.33,6.81,10.14
16,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Sludge Bomb,Poison,80,50,13,9,4.38,13.38
17,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Solar Beam,Grass,150,80,20,9,6.35,15.35
18,Ivysaur,Ivysaur,Grass,Poison,Razor Leaf,Grass,10,2,4,Power Whip,Grass,90,50,13,9,5.85,14.85
